region.Region,region.Country,region.relevance,region.BidFactor,region.eCPM,region.eFlightSpend,region.cumulativeSpend,region.eCPA,region.cumulativeEcpa,region.eCTR,region.eCPC,region.eViewability
Suffolk,United Kingdom,0.11,0,3.55,759,587882.75,203290.87,8262.35,6.80E-04,5.29,0.5882
National Capital Region,Philippines,0.1,0,0.9,1595,589477.69,56444.25,8281.48,8.40E-04,1.07,0.4724
Massachusetts,United States,0.09,0,3.74,39532,684620.88,261080.63,9569.69,9.30E-04,3.94,0.5638
New Jersey,United States,0.09,0,3.81,55611,684620.88,266213.09,9569.69,8.30E-04,4.5,0.5597
Quebec,Canada,0.07,0,2.79,7746,692366.76,251028.91,9673.79,0.00123,2.25,0.5317
Oregon,United States,0.06,0,3.2,24775,765004.85,335491.76,10656.5,7.90E-04,3.99,0.5609
Washington,United States,0.06,0,3.21,47863,765004.85,336225.97,10656.5,8.00E-04,3.89,0.5726
Connecticut,United States,0.05,0,3.5,20867,803826.73,440185.52,11182.57,7.50E-04,4.62,0.5538
Nevada,United States,0.05,0,3.03,17955,803826.73,381426.9,11182.57,0.0015,2.01,0.5912
New Mexico,United States,0.04,0,3.31,8716,812543.21,521152.7,11301.21,9.60E-04,3.34,0.5686
Tokyo,Japan,0.03,0,0.89,3135,861161.76,187128.62,11963.91,6.80E-04,1.29,0.3471
Virginia,United States,0.03,0,3.37,45483,861161.76,706267.1,11963.91,8.90E-04,3.73,0.5402
Florida,United States,0.02,0,3.26,97993,1215857.1,1024087.49,16812.4,0.00109,2.95,0.5488
Georgia,United States,0.02,0,3.24,48847,1215857.1,1017591.08,16812.4,0.00122,2.59,0.538
Illinois,United States,0.02,0,3.5,73704,1215857.1,1099814.52,16812.4,9.40E-04,3.64,0.542
Texas,United States,0.02,0,3.32,134150,1215857.1,1044722.64,16812.4,0.001,3.24,0.5661
Minnesota,United States,0.01,0,2.87,31445,1438134.4,1805300.59,19853.77,7.50E-04,3.7,0.5186
North Carolina,United States,0.01,0,3.28,45209,1438134.4,2060858.65,19853.77,0.00101,3.2,0.5516
North Rhine-Westphalia,Germany,0.01,0,2.01,3808,1438134.4,1261792.12,19853.77,0.00145,1.54,0.4864
Ohio,United States,0.01,0,3.12,55226,1438134.4,1960716.99,19853.77,8.70E-04,3.51,0.5564
Pennsylvania,United States,0.01,0,3.23,59308,1438134.4,2034932.34,19853.77,8.70E-04,3.68,0.5452
Seoul,Republic of Korea,0.01,0,0.47,1096,1438134.4,296760.83,19853.77,0.00124,0.37,0.3966
Tennessee,United States,0.01,0,3,26185,1438134.4,1884373.27,19853.77,0.00511,0.58,0.568
