data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
Audience - Interests > Games & Toys > Online Games > Extreme Confidence,DataAlliance,22.13,4.1,12.9,599,0
In-Market > Autos > Makes & Models > Honda > Odyssey,bluekai,22.06,4.09,4.08,28,148800
interests > health > womens health > affinity,DataAlliance,21.95,4.09,3.92,177,0
Demographic > Lifestyle  > Household Decision Makers,eyeota,21.93,4.09,4.55,66,0
Retail > Retail - Gas Stores > Retail - Gas Stores - ExxonMobil > Retail - Gas Stores - ExxonMobil - Heavy Credit/Debit Buyer,exelate,21.69,4.08,2.3,25,0
Germany > Reach > In-Market > Education,addthis,21.1,4.05,1.33,8,0
Intent > Auto- Buyers > Style > - Hybrid,exelate,20.98,4.04,3.57,69,0
Audience - Interests > Travel > Travel Guides > High Confidence,DataAlliance,20.95,4.04,1.56,49,0
Branded Data > Lotame > Automobiles > Makes and Models > Volkswagen > Tiguan,bluekai,20.92,4.04,5.04,58,4922880
B2B Demo > Professional Groups > Business Professional,bluekai,20.91,4.04,4.62,87,193587400
Retail > Retail - eCommerce > Retail - eCommerce - Amazon > Retail - eCommerce - Amazon - Light Credit/Debit Buyer,exelate,20.69,4.03,3.86,22,0
culture > british > affinity,DataAlliance,20.63,4.03,1.02,36,0
Audience - Interests > Health > Womens Health > Confident,DataAlliance,20.28,4.01,3.02,122,0
Premium Demographic > Australia > Education > Highest Degree > Bachelors Degree,DataAlliance,20.23,4.01,4.14,14,0
Finance > Interest > Insurance > House Insurance,visualdna,20.13,4,1.84,13,0
US > Reach > Education > Universities,addthis,20.07,4,4.61,69,0
US > Premium > Food >  Cuisine > Vegetarians and Vegans,addthis,20.01,4,1.45,8,0
australia > pop culture & celebrity gossip,lotame,19.98,3.99,4.06,160,0
brazil > video games,lotame,19.78,3.98,2.11,51,0
Audience - Interests > Health > Medical Equipment > High Confidence,DataAlliance,19.6,3.98,4.99,73,0
B2B Predictive Signals > Healthcare,bluekai,19.54,3.97,6.87,30,10518800
Demographics > Employment > Employed > Executive,visualdna,19.46,3.97,2.58,40,0
US > Premium > Technology,addthis,19.26,3.96,4.38,52,0
US > Premium > B2B > Business Data > Real Estate Professional,addthis,19.25,3.96,4.93,25,0
Branded Data > TruSignal > Auto > Near Market > Models > Infiniti > M37,bluekai,19.22,3.96,9.17,110,9016640
US > Premium > Women > Family > Celebrations,addthis,19.22,3.96,1.79,24,0
Brand > FastFood > Chipotle,visualdna,19.05,3.95,3.99,109,0
Custom Audience > Skimlinks Shopping Intent - Wants to Buy - Drugstore & Pharmacy - Hair Care,lotame,19.03,3.95,5.25,19,0
Global > B2B Demo > Functional Area > Marketing,eyeota,18.81,3.93,4.74,92,0
interests > computers > computer programming > affinity,DataAlliance,18.81,3.93,2.25,12,0
Nielsen TV > Dayparts > Weekend Daytime TV - Light Viewers,exelate,18.76,3.93,6.44,33,0
Audience - Interests > Health > Health Professionals > High Confidence,DataAlliance,18.69,3.93,5.06,78,0
UK > Reach > In-Market > Retail > Clothing & Shoes & Accessories,addthis,18.61,3.92,5.85,148,0
International Audiences > LEN FRA > France Business > Small Business Professionals,lotame,18.6,3.92,2.54,53,0
