tdid,score
1bcd38e7-e1b6-4f6a-9e39-2c4858bbcf28,58.0492470492
1be6c8e9-3acf-4383-81e7-957388135bf8,58.0492470492
1d1c60cd-2e34-42e6-ab34-d9c33d998c1c,58.0492470492
1d292320-0278-4aeb-a969-392406cd6d01,58.0492470492
1d3fa12a-971d-4afc-af14-2bfbcf8521f3,58.0492470492
1e1da97d-8517-4e3a-a937-b6385afcc5d9,58.0492470492
1e2602bb-c753-457a-89ed-d06765a1ea73,58.0492470492
1e46a90a-3958-4ee4-9039-2a94492e650e,58.0492470492
1e7002b0-f2e9-4457-a879-043853f4d356,58.0492470492
1e73ee5c-00eb-4b3e-9e85-564c73e410ca,58.0492470492
1e80e594-dd25-4d85-881c-dd3ada64b255,58.0492470492
1e81aa15-909d-4cc7-97de-5146dbbc56ee,58.0492470492
1ed712e5-77b0-42b1-a6a5-7e1f2219ce93,58.0492470492
1f6ba388-2368-4e2b-8d80-430226efc5ce,58.0492470492
1f74b62f-0fb5-43f6-98c3-f2282f9b8313,58.0492470492
2019239d-ee03-4a21-99af-dec053249c5e,58.0492470492
201b9928-4aa3-4f4d-98e9-a05eaccb632f,58.0492470492
201e3934-21a6-406b-808e-aa223bceb138,58.0492470492
203ebf5e-4f23-4646-bf37-0d5ab54f2d47,58.0492470492
206947b2-7117-4367-9d03-d396497e22c9,58.0492470492
2072565c-dc89-4ae5-9025-e12aebeabf6e,58.0492470492
20d09c19-e315-4848-acab-ed7e0da361c5,58.0492470492
20d8faa0-ceaa-4dd6-b144-7508052d4a44,58.0492470492
20e5e78a-19e0-44b4-baa6-f8a225399de2,58.0492470492
210ce80d-d425-43aa-b4c4-7cbab56e6fd0,58.0492470492
213a5d24-97ba-4171-9482-f1468cc5dba4,58.0492470492
213e5aa7-0dcb-4a16-8c5d-f6817ec1b4f6,58.0492470492
217a0a10-34cf-49b3-9084-e5e1bcff5cb8,58.0492470492
2241c2ff-c29c-4c83-af5a-e872481b4a20,58.0492470492
22cd8a1a-670e-4ce0-855c-d34b9f2a17a0,58.0492470492
22d2ed7d-ca0d-4530-ba8d-ac3d748fbd12,58.0492470492
2319f2e0-867f-467e-89ce-fa19919b2e53,58.0492470492
232c6fa4-176f-4848-aa73-e874d88b585c,58.0492470492
235cf91a-bfc6-4b54-ac77-28f79a5c6cc0,58.0492470492
236c989a-dc80-4a7a-a9fd-e223abf605dd,58.0492470492
240481b8-bb90-44d5-9a7d-c5d13eb0f2ac,58.0492470492
2445b410-91a3-4bc4-b487-1c05182ed81d,58.0492470492
24daa5a9-1f4b-4984-ba03-8f59a7d9bcb5,58.0492470492
24f9f1a5-fe1a-4519-a171-2b720906f217,58.0492470492
2505ca6b-144d-4853-bbcd-285b3b1e866f,58.0492470492
252695d9-875c-45ac-923b-c39cb982f89f,58.0492470492
258b179c-c656-4f65-8e0c-b99f1fa81431,58.0492470492
258b4205-b4be-4f52-8176-18ef0bed0249,58.0492470492
25a7c96f-076b-4df1-baba-1c984eef7025,58.0492470492
2619ce9f-9977-49e6-b213-b7955bd4e7be,58.0492470492
261c8519-29e2-41c7-9999-8aec46270515,58.0492470492
26261b34-0153-484c-a5e8-cab595974765,58.0492470492
263809d0-7c9e-4a22-8d4a-8f525646d245,58.0492470492
26cc66d9-788f-4320-b0ec-084a9ab63d3a,58.0492470492
26e114c4-b3ed-48f0-8892-b44668ed7021,58.0492470492
2729d152-fb7f-4c4b-b49c-ecb73e8ac0d9,58.0492470492
272c3106-f652-49eb-8024-fab95b3acac5,58.0492470492
272d5ca2-03f6-41f2-874b-8e2c6d363b30,58.0492470492
275193f4-cf2a-45b1-a09d-73c32745640b,58.0492470492
2773ede0-d504-498f-a888-40c719d18316,58.0492470492
27ad990d-a082-4e80-94eb-1f9eacac285b,58.0492470492
27c714f8-67a8-46ab-bd70-3ebdf971c391,58.0492470492
27d52983-38e0-4463-affd-3efaf535a404,58.0492470492
27e6413a-e3d5-493f-a0ff-9ad9cee782ef,58.0492470492
28517461-5ec5-4ab2-abac-3031212de4fc,58.0492470492
28674928-c435-4335-ac86-9330e41e30df,58.0492470492
28f2e99b-c9f4-42ab-bfa8-087ce3c5611c,58.0492470492
2930aad2-bbe1-461e-9a62-62ecc3a69958,58.0492470492
295ba46d-ea3c-4802-aa9f-1039b458412c,58.0492470492
2a0d84fc-a914-4cf4-a8b4-66476c5bfd21,58.0492470492
2a30f1e1-ac77-45ef-b7c0-a87e9576f2c7,58.0492470492
2a72c3c7-1222-4050-baaf-7802f31b070b,58.0492470492
2b35cec7-9e64-4a04-9544-24cc610070c0,58.0492470492
2b3df219-9f7c-4f06-9f77-d67aabd503ab,58.0492470492
2b4febb4-5caa-43af-8278-01587b2e739a,58.0492470492
2b5d35d8-38d1-4fcc-a072-0f41743ef279,58.0492470492
2bacb84d-7257-4ac1-807f-3a18a43f0002,58.0492470492
2bb48e05-8ee7-4f5d-85a6-4cf4aa38b94b,58.0492470492
2bdca97b-b9b5-4609-a734-75d8aecc0b13,58.0492470492
2be8e058-b25c-47f8-aff5-88fa4cd6149d,58.0492470492
2c1f8255-0af6-4a45-83ff-7072c589909f,58.0492470492
2c2164d6-5f4c-400a-9fbf-3722fbda52cb,58.0492470492
2ca5ccf9-ad06-4198-89d2-57940102e18e,58.0492470492
2cab6e54-8058-4dd4-b424-13e82864ddb7,58.0492470492
2cabc5e6-3cbe-4d2e-b28a-266fdbc6ab05,58.0492470492
2d0b696f-17ed-44ab-ad75-715f722e4133,58.0492470492
2d85fff4-692d-4d8f-9438-b8c4e0471437,58.0492470492
2de35a9d-5495-4b57-8806-8ddb497ed1d1,58.0492470492
2e2ed310-e520-4160-8e08-92a2f9aef756,58.0492470492
